employee_id,attrition,age,gender,marital_status,distance_from_home,department,job_role,job_level,over_time,total_working_years,years_at_company,job_satisfaction,work_life_balance,monthly_income,years_since_last_promotionyears_at_company,income_per_year_exp,loyal_ratio,promotion_lag,over_time_binary
36,0,36.0,Female,Single,1.0,Sales,Sales Executive,2,No,7.0,1.0,4.0,3.0,6653.0,0.0,831.625,0.125,1.0,0
37,0,32.0,Male,Married,1.0,Research & Development,Manufacturing Director,2,Yes,9.0,9.0,4.0,3.0,6162.0,7.0,616.2,0.9,2.0,1
38,0,43.0,Male,Divorced,27.0,Research & Development,Laboratory Technician,1,No,8.0,6.0,2.0,3.0,4876.0,0.0,541.7777777777778,0.6666666666666666,6.0,0
39,0,28.0,Male,Married,4.0,Sales,Sales Executive,2,No,5.0,5.0,3.0,4.0,4221.0,0.0,703.5,0.8333333333333334,5.0,0
40,1,31.0,Male,Married,6.0,Sales,Sales Executive,2,Yes,12.0,7.0,3.0,2.0,6172.0,7.0,474.7692307692308,0.5384615384615384,0.0,1
41,0,50.0,Male,Married,8.0,Sales,Sales Representative,1,No,4.0,2.0,2.0,3.0,3875.0,2.0,775.0,0.4,0.0,0
42,0,39.0,Male,Divorced,1.0,Research & Development,Healthcare Representative,3,No,19.0,18.0,4.0,2.0,9613.0,3.0,480.65,0.9,15.0,0
43,0,35.0,Male,Married,16.0,Research & Development,Laboratory Technician,1,No,6.0,5.0,2.0,3.0,2426.0,0.0,346.57142857142856,0.7142857142857143,5.0,0
44,0,32.0,Male,Married,5.0,Sales,Sales Executive,2,No,10.0,10.0,2.0,3.0,6524.0,5.0,593.0909090909091,0.9090909090909091,5.0,0
45,1,26.0,Male,Divorced,21.0,Research & Development,Laboratory Technician,1,No,1.0,1.0,3.0,2.0,2377.0,0.0,1188.5,0.5,1.0,0
46,0,30.0,Male,Married,2.0,Research & Development,Healthcare Representative,2,No,11.0,11.0,4.0,3.0,4152.0,10.0,346.0,0.9166666666666666,1.0,0
47,0,38.0,Female,Married,10.0,Sales,Sales Executive,2,No,10.0,10.0,4.0,3.0,5343.0,1.0,485.72727272727275,0.9090909090909091,9.0,0
48,0,30.0,Male,Divorced,1.0,Human Resources,Human Resources,1,No,6.0,5.0,3.0,4.0,2064.0,1.0,294.85714285714283,0.7142857142857143,4.0,0
49,0,38.0,Male,Single,23.0,Research & Development,Manufacturing Director,3,No,10.0,9.0,3.0,3.0,9526.0,1.0,866.0,0.8181818181818182,8.0,0
50,0,21.0,Male,Single,22.0,Sales,Sales Representative,1,No,3.0,3.0,3.0,3.0,3447.0,1.0,861.75,0.75,2.0,0
51,0,35.0,Male,Single,7.0,Research & Development,Manufacturing Director,3,No,17.0,8.0,3.0,4.0,10221.0,1.0,567.8333333333334,0.4444444444444444,7.0,0
52,0,50.0,Male,Married,9.0,Sales,Manager,5,Yes,27.0,1.0,3.0,3.0,19331.0,0.0,690.3928571428571,0.03571428571428571,1.0,1
53,0,34.0,Male,Divorced,10.0,Research & Development,Manufacturing Director,2,No,9.0,9.0,4.0,3.0,4724.0,7.0,472.4,0.9,2.0,0
54,0,26.0,Female,Divorced,1.0,Research & Development,Manufacturing Director,2,No,6.0,6.0,2.0,1.0,6397.0,1.0,913.8571428571429,0.8571428571428571,5.0,0
55,1,31.0,Male,Married,2.0,Research & Development,Laboratory Technician,1,Yes,7.0,2.0,4.0,1.0,3722.0,2.0,465.25,0.25,0.0,1
56,0,30.0,Male,Married,7.0,Research & Development,Research Scientist,1,No,6.0,6.0,2.0,2.0,2141.0,1.0,305.85714285714283,0.8571428571428571,5.0,0
57,0,32.0,Female,Married,2.0,Research & Development,Laboratory Technician,1,No,8.0,8.0,2.0,3.0,2370.0,0.0,263.3333333333333,0.8888888888888888,8.0,0
58,0,32.0,Male,Single,10.0,Sales,Sales Executive,2,No,10.0,10.0,4.0,2.0,5396.0,0.0,490.54545454545456,0.9090909090909091,10.0,0
59,0,34.0,Male,Divorced,2.0,Research & Development,Research Scientist,1,No,14.0,7.0,3.0,3.0,2768.0,5.0,184.53333333333333,0.4666666666666667,2.0,0
60,0,33.0,Female,Married,5.0,Research & Development,Manager,3,No,12.0,10.0,2.0,3.0,11878.0,8.0,913.6923076923077,0.7692307692307693,2.0,0
61,0,47.0,Female,Divorced,2.0,Research & Development,Manufacturing Director,2,No,20.0,5.0,4.0,3.0,5070.0,0.0,241.42857142857142,0.23809523809523808,5.0,0
62,0,35.0,Male,Married,7.0,Sales,Sales Representative,1,No,1.0,1.0,3.0,3.0,2404.0,0.0,1202.0,0.5,1.0,0
63,0,30.0,Male,Married,1.0,Research & Development,Laboratory Technician,1,No,7.0,2.0,3.0,3.0,3833.0,0.0,479.125,0.25,2.0,0
64,0,58.0,Female,Married,9.0,Research & Development,Research Scientist,1,Yes,9.0,1.0,2.0,2.0,3346.0,0.0,334.6,0.1,1.0,1
65,1,37.0,Male,Married,1.0,Sales,Sales Executive,3,No,17.0,14.0,3.0,1.0,10609.0,11.0,589.3888888888889,0.7777777777777778,3.0,0
66,0,45.0,Female,Single,28.0,Research & Development,Research Director,4,No,21.0,21.0,2.0,3.0,16704.0,8.0,759.2727272727273,0.9545454545454546,13.0,0
67,0,52.0,Male,Divorced,29.0,Sales,Sales Representative,1,No,16.0,9.0,4.0,2.0,3482.0,0.0,204.8235294117647,0.5294117647058824,9.0,0
68,0,38.0,Female,Single,9.0,Research & Development,Laboratory Technician,1,No,2.0,2.0,4.0,3.0,2288.0,2.0,762.6666666666666,0.6666666666666666,0.0,0
69,1,43.0,Female,Single,9.0,Sales,Sales Executive,2,No,7.0,4.0,3.0,2.0,5346.0,1.0,668.25,0.5,3.0,0
70,0,27.0,Female,Married,23.0,Sales,Sales Representative,2,No,9.0,9.0,3.0,3.0,3540.0,5.0,354.0,0.9,4.0,0
71,0,52.0,Female,Married,28.0,Research & Development,Manufacturing Director,4,Yes,24.0,5.0,3.0,2.0,13247.0,0.0,529.88,0.2,5.0,1
72,0,49.0,Female,Married,3.0,Research & Development,Laboratory Technician,2,No,10.0,3.0,1.0,3.0,4789.0,1.0,435.3636363636364,0.2727272727272727,2.0,0
73,0,44.0,Female,Divorced,1.0,Sales,Sales Executive,2,Yes,9.0,4.0,1.0,2.0,5454.0,1.0,545.4,0.4,3.0,1
74,0,59.0,Male,Married,3.0,Research & Development,Research Scientist,1,No,7.0,1.0,4.0,3.0,2177.0,0.0,272.125,0.125,1.0,0
75,0,58.0,Female,Married,21.0,Sales,Manager,4,Yes,29.0,1.0,4.0,2.0,17875.0,0.0,595.8333333333334,0.03333333333333333,1.0,1
76,0,31.0,Female,Divorced,4.0,Research & Development,Laboratory Technician,1,No,4.0,2.0,3.0,2.0,3978.0,2.0,795.6,0.4,0.0,0
77,0,42.0,Female,Divorced,21.0,Research & Development,Manufacturing Director,2,No,11.0,5.0,3.0,3.0,5265.0,0.0,438.75,0.4166666666666667,5.0,0
78,0,45.0,Male,Married,2.0,Sales,Sales Executive,2,No,9.0,8.0,2.0,4.0,4805.0,3.0,480.5,0.8,5.0,0
79,0,31.0,Female,Divorced,10.0,Sales,Sales Executive,2,Yes,8.0,5.0,4.0,3.0,6583.0,1.0,731.4444444444445,0.5555555555555556,4.0,1
80,0,34.0,Female,Divorced,3.0,Research & Development,Research Scientist,2,No,11.0,11.0,2.0,3.0,5433.0,7.0,452.75,0.9166666666666666,4.0,0
81,1,21.0,Female,Single,18.0,Research & Development,Research Scientist,1,No,1.0,1.0,4.0,2.0,2693.0,0.0,1346.5,0.5,1.0,0
82,0,23.0,Male,Married,4.0,Research & Development,Research Scientist,1,No,5.0,3.0,1.0,4.0,2819.0,0.0,469.8333333333333,0.5,3.0,0
83,0,47.0,Female,Single,9.0,Research & Development,Laboratory Technician,1,No,7.0,2.0,3.0,3.0,2105.0,2.0,263.125,0.25,0.0,0
84,0,54.0,Female,Married,3.0,Sales,Sales Executive,2,No,16.0,6.0,1.0,3.0,5940.0,0.0,349.4117647058824,0.35294117647058826,6.0,0
85,0,41.0,Female,Married,7.0,Research & Development,Research Scientist,1,No,10.0,10.0,3.0,3.0,3376.0,0.0,306.90909090909093,0.9090909090909091,10.0,0
86,0,45.0,Male,Divorced,20.0,Research & Development,Healthcare Representative,3,Yes,24.0,7.0,1.0,3.0,10851.0,0.0,434.04,0.28,7.0,1
87,0,36.0,Female,Married,11.0,Sales,Sales Executive,2,No,8.0,6.0,4.0,2.0,6652.0,0.0,739.1111111111111,0.6666666666666666,6.0,0
88,0,45.0,Female,Single,6.0,Sales,Sales Executive,3,No,23.0,19.0,4.0,3.0,8865.0,12.0,369.375,0.7916666666666666,7.0,0
89,0,46.0,Female,Married,10.0,Sales,Sales Executive,3,No,14.0,8.0,2.0,3.0,7314.0,0.0,487.6,0.5333333333333333,8.0,0
90,0,42.0,Male,Divorced,12.0,Sales,Sales Executive,2,Yes,14.0,0.0,4.0,3.0,5087.0,0.0,339.1333333333333,0.0,0.0,1
91,0,34.0,Male,Married,5.0,Research & Development,Laboratory Technician,2,No,15.0,15.0,4.0,4.0,3986.0,4.0,249.125,0.9375,11.0,0
92,0,37.0,Male,Married,7.0,Research & Development,Research Scientist,2,Yes,16.0,5.0,1.0,3.0,4284.0,0.0,252.0,0.29411764705882354,5.0,1
93,0,55.0,Male,Married,1.0,Sales,Sales Executive,3,No,24.0,1.0,4.0,3.0,10239.0,1.0,409.56,0.04,0.0,0
94,0,22.0,Female,Married,26.0,Research & Development,Research Scientist,1,Yes,4.0,4.0,3.0,2.0,2814.0,1.0,562.8,0.8,3.0,1
95,0,34.0,Male,Married,2.0,Research & Development,Manufacturing Director,2,No,10.0,10.0,3.0,2.0,9547.0,1.0,867.9090909090909,0.9090909090909091,9.0,0
96,0,29.0,Male,Married,1.0,Research & Development,Healthcare Representative,2,No,6.0,5.0,1.0,2.0,5373.0,0.0,767.5714285714286,0.7142857142857143,5.0,0
97,0,57.0,Male,Married,1.0,Research & Development,Research Scientist,2,No,13.0,12.0,3.0,2.0,4900.0,2.0,350.0,0.8571428571428571,10.0,0
98,0,53.0,Male,Single,24.0,Sales,Sales Executive,3,Yes,15.0,2.0,1.0,2.0,10448.0,2.0,653.0,0.125,0.0,1
99,0,33.0,Female,Married,4.0,Research & Development,Research Scientist,1,No,7.0,3.0,2.0,3.0,2622.0,1.0,327.75,0.375,2.0,0
100,0,32.0,Male,Divorced,1.0,Research & Development,Laboratory Technician,1,No,4.0,3.0,4.0,3.0,2314.0,0.0,462.8,0.6,3.0,0
101,1,21.0,Female,Single,10.0,Research & Development,Laboratory Technician,1,No,2.0,2.0,3.0,1.0,2625.0,2.0,875.0,0.6666666666666666,0.0,0
102,1,34.0,Female,Divorced,6.0,Sales,Sales Representative,1,No,3.0,2.0,3.0,2.0,2351.0,1.0,587.75,0.5,1.0,0
103,0,55.0,Male,Divorced,22.0,Research & Development,Research Scientist,1,No,8.0,4.0,2.0,3.0,3537.0,1.0,393.0,0.4444444444444444,3.0,0
104,0,27.0,Female,Single,20.0,Sales,Sales Executive,2,No,7.0,7.0,3.0,3.0,9981.0,0.0,1247.625,0.875,7.0,0
105,0,46.0,Female,Divorced,3.0,Sales,Sales Executive,4,No,25.0,19.0,1.0,3.0,13225.0,2.0,508.65384615384613,0.7307692307692307,17.0,0
106,0,36.0,Male,Divorced,6.0,Research & Development,Laboratory Technician,1,No,7.0,7.0,3.0,3.0,2741.0,1.0,342.625,0.875,6.0,0
107,1,41.0,Female,Married,12.0,Research & Development,Research Director,5,No,23.0,22.0,3.0,3.0,19545.0,15.0,814.375,0.9166666666666666,7.0,0
108,0,38.0,Male,Married,1.0,Research & Development,Research Scientist,2,No,19.0,13.0,4.0,4.0,4735.0,2.0,236.75,0.65,11.0,0
109,0,33.0,Male,Divorced,6.0,Research & Development,Healthcare Representative,2,No,15.0,13.0,4.0,1.0,7725.0,4.0,482.8125,0.8125,9.0,0
110,1,18.0,Male,Single,8.0,Research & Development,Laboratory Technician,1,No,0.0,0.0,3.0,3.0,1904.0,0.0,1904.0,0.0,0.0,0
111,0,27.0,Female,Single,9.0,Research & Development,Research Scientist,1,No,7.0,7.0,2.0,2.0,2279.0,0.0,284.875,0.875,7.0,0
112,0,22.0,Male,Married,1.0,Research & Development,Manufacturing Director,2,No,4.0,2.0,4.0,1.0,4775.0,2.0,955.0,0.4,0.0,0
113,1,33.0,Male,Married,14.0,Research & Development,Laboratory Technician,1,Yes,8.0,5.0,4.0,1.0,2436.0,0.0,270.6666666666667,0.5555555555555556,5.0,1
114,0,42.0,Female,Married,28.0,Research & Development,Healthcare Representative,2,No,7.0,6.0,4.0,4.0,4523.0,0.0,565.375,0.75,6.0,0
115,0,29.0,Male,Divorced,1.0,Research & Development,Research Scientist,1,No,10.0,10.0,4.0,3.0,2720.0,2.0,247.27272727272728,0.9090909090909091,8.0,0
116,0,39.0,Male,Married,1.0,Research & Development,Laboratory Technician,2,Yes,9.0,9.0,4.0,3.0,6472.0,5.0,647.2,0.9,4.0,1
117,0,35.0,Female,Married,1.0,Research & Development,Laboratory Technician,2,No,10.0,9.0,4.0,3.0,5363.0,0.0,487.54545454545456,0.8181818181818182,9.0,0
118,0,30.0,Male,Married,16.0,Research & Development,Healthcare Representative,2,No,10.0,7.0,3.0,3.0,5294.0,1.0,481.27272727272725,0.6363636363636364,6.0,0
119,0,37.0,Male,Divorced,9.0,Sales,Sales Executive,3,No,9.0,9.0,2.0,3.0,8834.0,7.0,883.4,0.9,2.0,0
120,0,39.0,Male,Divorced,3.0,Research & Development,Laboratory Technician,2,No,11.0,10.0,3.0,3.0,3069.0,0.0,255.75,0.8333333333333334,10.0,0
121,1,52.0,Female,Married,2.0,Sales,Manager,5,No,33.0,32.0,4.0,3.0,19845.0,6.0,583.6764705882352,0.9411764705882353,26.0,0
122,0,31.0,Male,Married,7.0,Sales,Sales Executive,2,No,10.0,8.0,4.0,2.0,6929.0,7.0,629.9090909090909,0.7272727272727273,1.0,0
123,0,29.0,Male,Single,10.0,Sales,Sales Representative,1,No,1.0,1.0,3.0,3.0,2642.0,0.0,1321.0,0.5,1.0,0
124,0,28.0,Male,Married,24.0,Research & Development,Laboratory Technician,1,Yes,1.0,1.0,2.0,3.0,2408.0,0.0,1204.0,0.5,1.0,1
125,0,26.0,Male,Single,1.0,Research & Development,Laboratory Technician,1,No,8.0,7.0,1.0,2.0,2867.0,7.0,318.55555555555554,0.7777777777777778,0.0,0
126,1,32.0,Male,Married,11.0,Sales,Sales Executive,2,No,6.0,4.0,3.0,3.0,4707.0,1.0,672.4285714285714,0.5714285714285714,3.0,0
127,0,35.0,Male,Married,11.0,Research & Development,Healthcare Representative,3,Yes,10.0,4.0,1.0,3.0,9884.0,2.0,898.5454545454545,0.36363636363636365,2.0,1
128,0,43.0,Male,Married,3.0,Research & Development,Research Director,5,No,25.0,8.0,4.0,3.0,19740.0,0.0,759.2307692307693,0.3076923076923077,8.0,0
129,0,33.0,Male,Single,2.0,Research & Development,Research Scientist,1,No,4.0,3.0,4.0,4.0,2500.0,0.0,500.0,0.6,3.0,0
130,0,44.0,Female,Married,2.0,Research & Development,Healthcare Representative,3,Yes,9.0,8.0,4.0,3.0,7879.0,6.0,787.9,0.8,2.0,1
131,0,41.0,Male,Divorced,3.0,Sales,Sales Executive,2,No,14.0,5.0,2.0,3.0,8938.0,0.0,595.8666666666667,0.3333333333333333,5.0,0
132,0,45.0,Male,Single,1.0,Research & Development,Healthcare Representative,2,No,12.0,4.0,3.0,3.0,5399.0,0.0,415.3076923076923,0.3076923076923077,4.0,0
133,0,37.0,Female,Divorced,10.0,Sales,Sales Executive,2,Yes,8.0,1.0,4.0,3.0,6694.0,0.0,743.7777777777778,0.1111111111111111,1.0,1
134,1,27.0,Female,Single,17.0,Research & Development,Research Scientist,1,Yes,8.0,8.0,3.0,3.0,2394.0,7.0,266.0,0.8888888888888888,1.0,1
135,0,28.0,Male,Married,2.0,Research & Development,Research Scientist,1,No,6.0,5.0,2.0,1.0,3201.0,0.0,457.2857142857143,0.7142857142857143,5.0,0
136,0,27.0,Male,Divorced,10.0,Research & Development,Manufacturing Director,3,No,9.0,9.0,1.0,2.0,8793.0,1.0,879.3,0.9,8.0,0
137,0,37.0,Male,Divorced,16.0,Sales,Sales Executive,2,No,9.0,1.0,3.0,3.0,6334.0,0.0,633.4,0.1,1.0,0
138,0,27.0,Male,Married,6.0,Research & Development,Research Scientist,1,No,4.0,4.0,3.0,3.0,2539.0,2.0,507.8,0.8,2.0,0
139,0,37.0,Male,Divorced,4.0,Sales,Sales Representative,1,No,13.0,9.0,4.0,3.0,2793.0,5.0,199.5,0.6428571428571429,4.0,0
140,0,31.0,Female,Single,24.0,Research & Development,Healthcare Representative,2,No,10.0,10.0,1.0,3.0,6812.0,1.0,619.2727272727273,0.9090909090909091,9.0,0
141,0,48.0,Male,Single,1.0,Research & Development,Research Director,5,No,25.0,1.0,4.0,4.0,18265.0,0.0,702.5,0.038461538461538464,1.0,0
142,0,36.0,Female,Married,1.0,Research & Development,Manufacturing Director,2,No,10.0,9.0,2.0,3.0,5228.0,0.0,475.27272727272725,0.8181818181818182,9.0,0
143,0,37.0,Female,Married,1.0,Research & Development,Manufacturing Director,2,No,14.0,14.0,4.0,2.0,6474.0,3.0,431.6,0.9333333333333333,11.0,0
144,0,55.0,Male,Married,4.0,Research & Development,Healthcare Representative,2,Yes,4.0,3.0,3.0,3.0,4035.0,1.0,807.0,0.6,2.0,1
145,0,33.0,Male,Divorced,7.0,Research & Development,Healthcare Representative,2,No,9.0,9.0,3.0,3.0,5968.0,2.0,596.8,0.9,7.0,0
146,0,38.0,Female,Single,1.0,Sales,Sales Executive,2,No,12.0,8.0,4.0,4.0,8686.0,0.0,668.1538461538462,0.6153846153846154,8.0,0
147,0,32.0,Male,Divorced,13.0,Sales,Sales Executive,2,No,8.0,5.0,4.0,2.0,4403.0,0.0,489.22222222222223,0.5555555555555556,5.0,0
148,0,32.0,Female,Married,5.0,Research & Development,Research Scientist,1,No,6.0,3.0,4.0,3.0,3312.0,0.0,473.14285714285717,0.42857142857142855,3.0,0
149,0,28.0,Female,Single,10.0,Research & Development,Research Scientist,2,No,10.0,8.0,3.0,4.0,3660.0,1.0,332.72727272727275,0.7272727272727273,7.0,0
150,0,43.0,Female,Single,28.0,Research & Development,Research Scientist,1,No,18.0,3.0,3.0,3.0,4739.0,1.0,249.42105263157896,0.15789473684210525,2.0,0
151,0,29.0,Male,Divorced,19.0,Sales,Sales Executive,2,No,10.0,10.0,3.0,3.0,8620.0,0.0,783.6363636363636,0.9090909090909091,10.0,0
152,0,30.0,Male,Married,1.0,Research & Development,Research Scientist,1,Yes,12.0,11.0,2.0,3.0,3579.0,5.0,275.3076923076923,0.8461538461538461,6.0,1
153,0,33.0,Male,Single,17.0,Sales,Manager,4,No,10.0,10.0,3.0,3.0,17444.0,6.0,1585.8181818181818,0.9090909090909091,4.0,0
154,0,43.0,Female,Divorced,8.0,Research & Development,Manufacturing Director,2,No,4.0,1.0,2.0,4.0,4765.0,0.0,953.0,0.2,1.0,0
155,0,42.0,Female,Married,26.0,Research & Development,Research Director,3,Yes,20.0,1.0,1.0,3.0,13191.0,0.0,628.1428571428571,0.047619047619047616,1.0,1
156,0,37.0,Female,Married,10.0,Research & Development,Laboratory Technician,1,No,17.0,5.0,1.0,3.0,3452.0,0.0,191.77777777777777,0.2777777777777778,5.0,0
157,0,56.0,Male,Divorced,1.0,Research & Development,Healthcare Representative,2,No,13.0,13.0,3.0,2.0,6306.0,1.0,450.42857142857144,0.9285714285714286,12.0,0
158,0,27.0,Female,Married,15.0,Research & Development,Research Scientist,1,No,8.0,7.0,1.0,2.0,4774.0,7.0,530.4444444444445,0.7777777777777778,0.0,0
159,0,26.0,Female,Married,20.0,Human Resources,Human Resources,1,Yes,6.0,5.0,2.0,3.0,2148.0,1.0,306.85714285714283,0.7142857142857143,4.0,1
160,0,24.0,Male,Married,24.0,Sales,Sales Representative,1,No,3.0,2.0,4.0,3.0,2400.0,2.0,600.0,0.5,0.0,0
161,0,37.0,Female,Married,25.0,Research & Development,Research Scientist,2,Yes,15.0,13.0,3.0,3.0,4449.0,10.0,278.0625,0.8125,3.0,1
162,0,37.0,Male,Married,2.0,Sales,Sales Executive,2,Yes,17.0,3.0,3.0,2.0,9602.0,1.0,533.4444444444445,0.16666666666666666,2.0,1
163,0,40.0,Female,Divorced,26.0,Research & Development,Research Scientist,2,No,20.0,20.0,2.0,3.0,5605.0,2.0,266.9047619047619,0.9523809523809523,18.0,0
164,0,34.0,Male,Married,2.0,Research & Development,Research Scientist,1,Yes,6.0,5.0,4.0,3.0,2932.0,1.0,418.85714285714283,0.7142857142857143,4.0,1
165,1,55.0,Male,Single,2.0,Sales,Sales Executive,2,No,12.0,9.0,4.0,2.0,5160.0,7.0,396.9230769230769,0.6923076923076923,2.0,0
166,0,34.0,Female,Single,15.0,Sales,Sales Executive,2,No,10.0,10.0,1.0,4.0,6125.0,9.0,556.8181818181819,0.9090909090909091,1.0,0
167,0,18.0,Female,Single,10.0,Sales,Sales Representative,1,No,0.0,0.0,3.0,3.0,1200.0,0.0,1200.0,0.0,0.0,0
168,0,41.0,Male,Single,2.0,Sales,Manager,4,No,22.0,22.0,2.0,3.0,16015.0,0.0,696.304347826087,0.9565217391304348,22.0,0
169,0,44.0,Female,Married,1.0,Sales,Sales Executive,2,No,11.0,1.0,3.0,2.0,4768.0,0.0,397.3333333333333,0.08333333333333333,1.0,0
170,0,42.0,Male,Married,8.0,Sales,Sales Executive,2,No,10.0,9.0,2.0,3.0,6825.0,4.0,620.4545454545455,0.8181818181818182,5.0,0
171,0,51.0,Female,Single,3.0,Research & Development,Healthcare Representative,4,No,21.0,7.0,2.0,3.0,13734.0,1.0,624.2727272727273,0.3181818181818182,6.0,0
